password,target_label,actual_label,label_match
user123,weak,weak,True
emma,weak,weak,True
744773,weak,weak,True
t3st123,weak,weak,True
gsie,weak,weak,True
lisa,weak,weak,True
ocb,weak,weak,True
jane,weak,weak,True
t3st123,weak,weak,True
temp999,weak,weak,True
caxdze,weak,weak,True
joe,weak,weak,True
szxjom,weak,weak,True
test123123,weak,weak,True
qwerty999,weak,weak,True
qvrj,weak,weak,True
qwerty,weak,weak,True
qwerty,weak,weak,True
zsj96,weak,weak,True
omm,weak,weak,True
287729,weak,weak,True
zxcvbn,weak,weak,True
qwerty,weak,weak,True
test,weak,weak,True
cgajja,weak,weak,True
h3llo,weak,weak,True
21231,weak,weak,True
snlmp,weak,weak,True
aos77,weak,weak,True
ejtysc,weak,weak,True
asdfgh,weak,weak,True
world,weak,weak,True
qwerty,weak,weak,True
jpo88,weak,weak,True
84745,weak,weak,True
51688,weak,weak,True
123456,weak,weak,True
763821,weak,weak,True
mary,weak,weak,True
john,weak,weak,True
1747,weak,weak,True
123456,weak,weak,True
nwykos,weak,weak,True
vue20,weak,weak,True
fri55,weak,weak,True
8127,weak,weak,True
zxcvbn,weak,weak,True
tno38,weak,weak,True
yxj59,weak,weak,True
fehoz,weak,weak,True
test123,weak,weak,True
1326,weak,weak,True
us3r,weak,weak,True
dzp47,weak,weak,True
3544,weak,weak,True
alex,weak,weak,True
228659,weak,weak,True
asdfgh,weak,weak,True
test123,weak,weak,True
hjlfd,weak,weak,True
david2020,weak,weak,True
elgqeg,weak,weak,True
72481,weak,weak,True
gkrwe,weak,weak,True
496144,weak,weak,True
asdfgh,weak,weak,True
123456456,weak,weak,True
chris,weak,weak,True
ewcyr,weak,weak,True
test,weak,weak,True
98678,weak,weak,True
alex,weak,weak,True
edo,weak,weak,True
jane,weak,weak,True
asdfgh,weak,weak,True
qwerty,weak,weak,True
qwerty,weak,weak,True
ffz13,weak,weak,True
aesepv,weak,weak,True
hdi42,weak,weak,True
user111,weak,weak,True
sarah,weak,weak,True
temp,weak,weak,True
htw79,weak,weak,True
user,weak,weak,True
user000,weak,weak,True
2181,weak,weak,True
eqs,weak,weak,True
t3st,weak,weak,True
65575,weak,weak,True
qwerty,weak,weak,True
368625,weak,weak,True
4499,weak,weak,True
568296,weak,weak,True
login,weak,weak,True
493453,weak,weak,True
asdfgh,weak,weak,True
4966,weak,weak,True
fue30,weak,weak,True
david2020,weak,weak,True
esdxc,weak,weak,True
142874,weak,weak,True
47145,weak,weak,True
hello,weak,weak,True
qmod,weak,weak,True
zxcvbn,weak,weak,True
imf,weak,weak,True
xcrq,weak,weak,True
pyxca,weak,weak,True
admin,weak,weak,True
ysg19,weak,weak,True
rvama,weak,weak,True
t3mp,weak,weak,True
652522,weak,weak,True
qwerty,weak,weak,True
9822,weak,weak,True
gunoyg,weak,weak,True
nhmeo,weak,weak,True
qwerty,weak,weak,True
user123,weak,weak,True
asdfgh,weak,weak,True
jbbhs,weak,weak,True
asdfgh,weak,weak,True
alex,weak,weak,True
czlm,weak,weak,True
gu3st,weak,weak,True
asdfgh,weak,weak,True
zxcvbn,weak,weak,True
abc123456,weak,weak,True
login,weak,weak,True
t3mp,weak,weak,True
t3st123,weak,weak,True
zxcvbn,weak,weak,True
jane,weak,weak,True
vzd29,weak,weak,True
78869,weak,weak,True
qfijs,weak,weak,True
mbl01,weak,weak,True
zxcvbn,weak,weak,True
jane,weak,weak,True
test123,weak,weak,True
qwerty,weak,weak,True
ilxk,weak,weak,True
hsc64,weak,weak,True
olp25,weak,weak,True
1412,weak,weak,True
zhw24,weak,weak,True
sxb,weak,weak,True
qwerty,weak,weak,True
9911,weak,weak,True
login,weak,weak,True
jane,weak,weak,True
erkt,weak,weak,True
abc123456,weak,weak,True
vpylf,weak,weak,True
zxcvbn,weak,weak,True
user999,weak,weak,True
ndg88,weak,weak,True
guest,weak,weak,True
admin,weak,weak,True
qwerty,weak,weak,True
tqlj,weak,weak,True
qwerty,weak,weak,True
mmhneu,weak,weak,True
us3r,weak,weak,True
xkks,weak,weak,True
t3mp,weak,weak,True
qwerty,weak,weak,True
jane,weak,weak,True
123456,weak,weak,True
xms53,weak,weak,True
asdfgh,weak,weak,True
wxiz,weak,weak,True
zxcvbn,weak,weak,True
tiq96,weak,weak,True
admin,weak,weak,True
password123,weak,weak,True
tom2022,weak,weak,True
qwerty,weak,weak,True
123456456,weak,weak,True
zxcvbn,weak,weak,True
vaz97,weak,weak,True
lisa,weak,weak,True
password,weak,weak,True
3347,weak,weak,True
123456,weak,weak,True
gbzyak,weak,weak,True
tku23,weak,weak,True
asdfgh,weak,weak,True
njj58,weak,weak,True
cbg33,weak,weak,True
emma,weak,weak,True
4118,weak,weak,True
btqshu,weak,weak,True
4765,weak,weak,True
mur,weak,weak,True
test456,weak,weak,True
eon,weak,weak,True
nwz30,weak,weak,True
qjn58,weak,weak,True
anna,weak,weak,True
13799,weak,weak,True
welcome,weak,weak,True
jbq54,weak,weak,True
t3st,weak,weak,True
zxcvbn,weak,weak,True
vvsmqd,weak,weak,True
nlv07,weak,weak,True
swy,weak,weak,True
364214,weak,weak,True
bqh,weak,weak,True
dcxly,weak,weak,True
fnx,weak,weak,True
onhoem,weak,weak,True
test123,weak,weak,True
user,weak,weak,True
abc123,weak,weak,True
test,weak,weak,True
rofo,weak,weak,True
qbe19,weak,weak,True
jane,weak,weak,True
587419,weak,weak,True
demo,weak,weak,True
user123,weak,weak,True
t3st,weak,weak,True
tom,weak,weak,True
asdfgh,weak,weak,True
kgrh,weak,weak,True
zxcvbn,weak,weak,True
7137,weak,weak,True
zxcvbn,weak,weak,True
d3mo,weak,weak,True
qwerty,weak,weak,True
eoyl,weak,weak,True
david,weak,weak,True
jaao,weak,weak,True
alex,weak,weak,True
h3llo,weak,weak,True
world,weak,weak,True
4dmin,weak,weak,True
tch39,weak,weak,True
88552,weak,weak,True
417237,weak,weak,True
mary,weak,weak,True
oka03,weak,weak,True
anna,weak,weak,True
mave,weak,weak,True
qwerty,weak,weak,True
qwerty,weak,weak,True
pki,weak,weak,True
test123,weak,weak,True
test123,weak,weak,True
anna,weak,weak,True
vxs,weak,weak,True
tom,weak,weak,True
anna,weak,weak,True
asdfgh,weak,weak,True
jane,weak,weak,True
login,weak,weak,True
dhu,weak,weak,True
saarxl,weak,weak,True
6583,weak,weak,True
5248,weak,weak,True
mike,weak,weak,True
emma2020,weak,weak,True
wjz31,weak,weak,True
asdfgh,weak,weak,True
qwerty,weak,weak,True
rqi49,weak,weak,True
zxcvbn,weak,weak,True
tom,weak,weak,True
8611,weak,weak,True
chris,weak,weak,True
afgqe,weak,weak,True
admin,weak,weak,True
rwezc,weak,weak,True
qjs80,weak,weak,True
sarah,weak,weak,True
123456,weak,weak,True
ecxml,weak,weak,True
anna,weak,weak,True
7965,weak,weak,True
qwerty,weak,weak,True
d3mo,weak,weak,True
4dmin,weak,weak,True
john,weak,weak,True
zxcvbn,weak,weak,True
ohfh,weak,weak,True
txyt,weak,weak,True
zxcvbn,weak,weak,True
guest,weak,weak,True
guest,weak,weak,True
13978,weak,weak,True
vnj46,weak,weak,True
test,weak,weak,True
939999,weak,weak,True
iib,weak,weak,True
emma,weak,weak,True
gnph,weak,weak,True
hello,weak,weak,True
ypc74,weak,weak,True
paml,weak,weak,True
gu3st,weak,weak,True
gdkw,weak,weak,True
t3mp,weak,weak,True
ymn16,weak,weak,True
gggt,weak,weak,True
zxcvbn,weak,weak,True
vcclx,weak,weak,True
uds24,weak,weak,True
pst,weak,weak,True
admin,weak,weak,True
dvfe,weak,weak,True
test,weak,weak,True
abc123,weak,weak,True
password,weak,weak,True
pljen,weak,weak,True
17428,weak,weak,True
zxcvbn,weak,weak,True
gxpcp,weak,weak,True
dlr54,weak,weak,True
873323,weak,weak,True
asdfgh,weak,weak,True
unif,weak,weak,True
466483,weak,weak,True
qwerty,weak,weak,True
zcrjui,weak,weak,True
world,weak,weak,True
647296,weak,weak,True
world,weak,weak,True
h3llo,weak,weak,True
tcu76,weak,weak,True
lgkz,weak,weak,True
5567,weak,weak,True
qwerty,weak,weak,True
wzrwq,weak,weak,True
zxcvbn,weak,weak,True
mne,weak,weak,True
alex,weak,weak,True
qwerty,weak,weak,True
us3r,weak,weak,True
edj87,weak,weak,True
jane,weak,weak,True
temp,weak,weak,True
799578,weak,weak,True
168482,weak,weak,True
luakk,weak,weak,True
91716,weak,weak,True
ciwk,weak,weak,True
guest,weak,weak,True
xos47,weak,weak,True
sarah,weak,weak,True
world,weak,weak,True
21473,weak,weak,True
qwerty111,weak,weak,True
abc123,weak,weak,True
qwerty,weak,weak,True
ugwu,weak,weak,True
611529,weak,weak,True
rvang,weak,weak,True
chris,weak,weak,True
admin,weak,weak,True
qwerty,weak,weak,True
3319,weak,weak,True
sarah,weak,weak,True
ysm32,weak,weak,True
rupcn,weak,weak,True
d3mo,weak,weak,True
4dmin,weak,weak,True
admin,weak,weak,True
saj14,weak,weak,True
t3st,weak,weak,True
unz50,weak,weak,True
qwerty,weak,weak,True
3661,weak,weak,True
lts66,weak,weak,True
login,weak,weak,True
qdna,weak,weak,True
admin,weak,weak,True
user000,weak,weak,True
t3mp,weak,weak,True
5135,weak,weak,True
synmps,weak,weak,True
qwerty000,weak,weak,True
371819,weak,weak,True
test,weak,weak,True
xce51,weak,weak,True
xqbhk,weak,weak,True
123456,weak,weak,True
t3st123,weak,weak,True
qwerty,weak,weak,True
anna,weak,weak,True
njnrv,weak,weak,True
gu3st,weak,weak,True
t3st123,weak,weak,True
igaw,weak,weak,True
zxcvbn,weak,weak,True
lisa,weak,weak,True
demo,weak,weak,True
123456,weak,weak,True
98921,weak,weak,True
qtgb,weak,weak,True
wzqe,weak,weak,True
acdqk,weak,weak,True
zxcvbn,weak,weak,True
demo999,weak,weak,True
yqnfo,weak,weak,True
2394,weak,weak,True
399368,weak,weak,True
47422,weak,weak,True
xwe,weak,weak,True
123456,weak,weak,True
qwerty,weak,weak,True
332638,weak,weak,True
99953,weak,weak,True
jane,weak,weak,True
zxcvbn,weak,weak,True
asdfgh,weak,weak,True
h3llo,weak,weak,True
chris,weak,weak,True
world,weak,weak,True
xqpws,weak,weak,True
user999,weak,weak,True
david,weak,weak,True
guest,weak,weak,True
123456111,weak,weak,True
yvnsf,weak,weak,True
user123456,weak,weak,True
kyj75,weak,weak,True
sarah,weak,weak,True
mkn05,weak,weak,True
smsbu,weak,weak,True
world,weak,weak,True
buvk,weak,weak,True
asdfgh,weak,weak,True
qphrq,weak,weak,True
pass123456,weak,weak,True
1546,weak,weak,True
mary,weak,weak,True
alex,weak,weak,True
lisa,weak,weak,True
19792,weak,weak,True
iyb79,weak,weak,True
login,weak,weak,True
qwerty,weak,weak,True
world,weak,weak,True
us3r,weak,weak,True
zpi04,weak,weak,True
wjhus,weak,weak,True
2784,weak,weak,True
chris,weak,weak,True
qwerty,weak,weak,True
hello,weak,weak,True
abc123123,weak,weak,True
pxrjx,weak,weak,True
mary,weak,weak,True
asdfgh,weak,weak,True
john,weak,weak,True
asdfgh,weak,weak,True
jane,weak,weak,True
vdm89,weak,weak,True
world,weak,weak,True
d3mo,weak,weak,True
xnl87,weak,weak,True
mth11,weak,weak,True
evvncf,weak,weak,True
anna,weak,weak,True
password,weak,weak,True
pemhr,weak,weak,True
zxcvbn,weak,weak,True
password,weak,weak,True
85483,weak,weak,True
txn50,weak,weak,True
fjbcyj,weak,weak,True
54532,weak,weak,True
zxcvbn,weak,weak,True
zxcvbn,weak,weak,True
52276,weak,weak,True
avka,weak,weak,True
sarah,weak,weak,True
chris,weak,weak,True
9962,weak,weak,True
asdfgh,weak,weak,True
ttn59,weak,weak,True
fao04,weak,weak,True
eddtvp,weak,weak,True
cvnvz,weak,weak,True
sarah,weak,weak,True
gdgkj,weak,weak,True
gesn,weak,weak,True
yen62,weak,weak,True
asdfgh,weak,weak,True
login,weak,weak,True
qiu73,weak,weak,True
test,weak,weak,True
vao89,weak,weak,True
684892,weak,weak,True
hmv10,weak,weak,True
admin,weak,weak,True
zkcxo,weak,weak,True
dpw40,weak,weak,True
david2020,weak,weak,True
pbx,weak,weak,True
ckr51,weak,weak,True
uig98,weak,weak,True
tom,weak,weak,True
awydjo,weak,weak,True
tom,weak,weak,True
rrwz,weak,weak,True
319368,weak,weak,True
ggd05,weak,weak,True
abuwa,weak,weak,True
qwerty,weak,weak,True
gsh08,weak,weak,True
mhg01,weak,weak,True
tom,weak,weak,True
ooh67,weak,weak,True
7138,weak,weak,True
4261,weak,weak,True
asdfgh,weak,weak,True
eht98,weak,weak,True
7592,weak,weak,True
427138,weak,weak,True
asdfgh,weak,weak,True
tom,weak,weak,True
123456999,weak,weak,True
welcome,weak,weak,True
qwerty,weak,weak,True
iqr10,weak,weak,True
khro,weak,weak,True
zhbn,weak,weak,True
exr30,weak,weak,True
d3mo,weak,weak,True
dlhp,weak,weak,True
mike,weak,weak,True
975528,weak,weak,True
gu3st,weak,weak,True
ttjxpq,weak,weak,True
password,weak,weak,True
hzp98,weak,weak,True
emma2020,weak,weak,True
aui,weak,weak,True
273253,weak,weak,True
zxcvbn,weak,weak,True
qwerty,weak,weak,True
david,weak,weak,True
ylwdh,weak,weak,True
qwerty,weak,weak,True
asdfgh,weak,weak,True
9795,weak,weak,True
login,weak,weak,True
jane,weak,weak,True
test123,weak,weak,True
dbvx,weak,weak,True
egovq,weak,weak,True
vvo44,weak,weak,True
jane,weak,weak,True
tom,weak,weak,True
rxzv,weak,weak,True
d3mo,weak,weak,True
4dmin,weak,weak,True
wono,weak,weak,True
alex,weak,weak,True
abc123,weak,weak,True
frpte,weak,weak,True
emma2020,weak,weak,True
31879,weak,weak,True
zxcvbn,weak,weak,True
121766,weak,weak,True
temp000,weak,weak,True
asdfgh,weak,weak,True
lisa,weak,weak,True
4dmin,weak,weak,True
7423,weak,weak,True
puu34,weak,weak,True
david,weak,weak,True
anna2020,weak,weak,True
asdfgh,weak,weak,True
jyjg,weak,weak,True
zxcvbn,weak,weak,True
qwerty,weak,weak,True
user,weak,weak,True
zxcvbn,weak,weak,True
123456,weak,weak,True
qwerty,weak,weak,True
scs10,weak,weak,True
csp,weak,weak,True
kqba,weak,weak,True
zxcvbn,weak,weak,True
33254,weak,weak,True
t3st,weak,weak,True
kqk58,weak,weak,True
test123,weak,weak,True
temp,weak,weak,True
demo111,weak,weak,True
chris,weak,weak,True
qwerty,weak,weak,True
yzwzlc,weak,weak,True
demo111,weak,weak,True
bzc17,weak,weak,True
rub36,weak,weak,True
qwerty,weak,weak,True
qwerty,weak,weak,True
xth94,weak,weak,True
bodir,weak,weak,True
bowfd,weak,weak,True
guest,weak,weak,True
8334,weak,weak,True
test123,weak,weak,True
rgl40,weak,weak,True
85747,weak,weak,True
mike,weak,weak,True
qwerty,weak,weak,True
asdfgh,weak,weak,True
anna,weak,weak,True
gik16,weak,weak,True
7614,weak,weak,True
933349,weak,weak,True
asdfgh,weak,weak,True
xdl88,weak,weak,True
sawia,weak,weak,True
t3mp,weak,weak,True
123456,weak,weak,True
zxcvbn,weak,weak,True
hyw62,weak,weak,True
issi,weak,weak,True
42998,weak,weak,True
alex,weak,weak,True
emma,weak,weak,True
alex,weak,weak,True
test456,weak,weak,True
mnxg,weak,weak,True
5891,weak,weak,True
wouswl,weak,weak,True
user123,weak,weak,True
nxjss,weak,weak,True
sarah,weak,weak,True
2871,weak,weak,True
t3mp,weak,weak,True
qwerty,weak,weak,True
pvol,weak,weak,True
chris,weak,weak,True
zxcvbn,weak,weak,True
t3st123,weak,weak,True
bgook,weak,weak,True
dwa96,weak,weak,True
gfc69,weak,weak,True
t3mp,weak,weak,True
test123123,weak,weak,True
anna,weak,weak,True
bzbc,weak,weak,True
mary,weak,weak,True
jkibx,weak,weak,True
zxcvbn,weak,weak,True
anna,weak,weak,True
wxdbs,weak,weak,True
hgc48,weak,weak,True
occr,weak,weak,True
ixgq,weak,weak,True
qwerty,weak,weak,True
pyc62,weak,weak,True
emma,weak,weak,True
frw52,weak,weak,True
password,weak,weak,True
123456,weak,weak,True
sad23,weak,weak,True
temp,weak,weak,True
ffp32,weak,weak,True
login,weak,weak,True
user123,weak,weak,True
login,weak,weak,True
t3mp,weak,weak,True
test999,weak,weak,True
mow00,weak,weak,True
jane,weak,weak,True
zxcvbn,weak,weak,True
gdktgn,weak,weak,True
world,weak,weak,True
t3mp,weak,weak,True
loj46,weak,weak,True
3483,weak,weak,True
emma2020,weak,weak,True
4dmin,weak,weak,True
cwvz,weak,weak,True
tmc,weak,weak,True
mary,weak,weak,True
167227,weak,weak,True
voa,weak,weak,True
wrg39,weak,weak,True
emma,weak,weak,True
qwerty,weak,weak,True
asdfgh,weak,weak,True
sarah,weak,weak,True
hcj,weak,weak,True
2172,weak,weak,True
zxcvbn,weak,weak,True
iqja,weak,weak,True
123456000,weak,weak,True
abc123,weak,weak,True
anna,weak,weak,True
asdfgh,weak,weak,True
jrkd,weak,weak,True
test123123,weak,weak,True
126262,weak,weak,True
qwerty,weak,weak,True
vlgp,weak,weak,True
asdfgh,weak,weak,True
123456,weak,weak,True
asdfgh,weak,weak,True
test123,weak,weak,True
nym80,weak,weak,True
asdfgh,weak,weak,True
welcome,weak,weak,True
t3mp,weak,weak,True
nfnbsj,weak,weak,True
nxz,weak,weak,True
test123456,weak,weak,True
sgdqh,weak,weak,True
91999,weak,weak,True
39737,weak,weak,True
owgo,weak,weak,True
asdfgh,weak,weak,True
alex,weak,weak,True
world,weak,weak,True
vow,weak,weak,True
czb33,weak,weak,True
eilrss,weak,weak,True
t3st,weak,weak,True
27894,weak,weak,True
mdrs,weak,weak,True
alex,weak,weak,True
us3r,weak,weak,True
3622,weak,weak,True
qyl37,weak,weak,True
1282,weak,weak,True
ltpxn,weak,weak,True
test,weak,weak,True
135737,weak,weak,True
sarah,weak,weak,True
ujba,weak,weak,True
h3llo,weak,weak,True
aim28,weak,weak,True
gld45,weak,weak,True
jyv,weak,weak,True
pwn,weak,weak,True
anna,weak,weak,True
yoa34,weak,weak,True
temp,weak,weak,True
zxcvbn,weak,weak,True
kmavg,weak,weak,True
rbhmm,weak,weak,True
rlt78,weak,weak,True
sqw91,weak,weak,True
test456,weak,weak,True
142124,weak,weak,True
qwerty,weak,weak,True
97774,weak,weak,True
sarah,weak,weak,True
1576,weak,weak,True
pfgsb,weak,weak,True
world,weak,weak,True
david,weak,weak,True
asdfgh,weak,weak,True
123456,weak,weak,True
jkj15,weak,weak,True
world,weak,weak,True
qwerty,weak,weak,True
123456,weak,weak,True
qwerty,weak,weak,True
demo,weak,weak,True
t3mp,weak,weak,True
123456,weak,weak,True
asdfgh,weak,weak,True
qwerty789,weak,weak,True
test999,weak,weak,True
test123,weak,weak,True
zxcvbn,weak,weak,True
knkpz,weak,weak,True
nirqa,weak,weak,True
qwerty000,weak,weak,True
lwcc,weak,weak,True
qwerty,weak,weak,True
voa59,weak,weak,True
hef55,weak,weak,True
123456,weak,weak,True
tom,weak,weak,True
rvqgb,weak,weak,True
us3r,weak,weak,True
nhcnpf,weak,weak,True
1468,weak,weak,True
ewpvr,weak,weak,True
dvjp,weak,weak,True
1762,weak,weak,True
ant60,weak,weak,True
zxcvbn,weak,weak,True
lisa,weak,weak,True
mary,weak,weak,True
t3mp,weak,weak,True
chris,weak,weak,True
asdfgh,weak,weak,True
349778,weak,weak,True
mwo,weak,weak,True
mary,weak,weak,True
qahavz,weak,weak,True
hello,weak,weak,True
blq87,weak,weak,True
asdfgh,weak,weak,True
mary,weak,weak,True
juseu,weak,weak,True
zxtvq,weak,weak,True
tom,weak,weak,True
cywv,weak,weak,True
test111,weak,weak,True
tom,weak,weak,True
admin,weak,weak,True
196588,weak,weak,True
world,weak,weak,True
qeejd,weak,weak,True
asdfgh,weak,weak,True
dluote,weak,weak,True
ykx94,weak,weak,True
knrv,weak,weak,True
xxyg,weak,weak,True
qwerty123,weak,weak,True
mtwf,weak,weak,True
ivddw,weak,weak,True
98321,weak,weak,True
d3mo,weak,weak,True
mike,weak,weak,True
9599,weak,weak,True
8947,weak,weak,True
ikf28,weak,weak,True
david2020,weak,weak,True
595979,weak,weak,True
test456,weak,weak,True
glc,weak,weak,True
demo111,weak,weak,True
test,weak,weak,True
vnv60,weak,weak,True
chris,weak,weak,True
gtijpx,weak,weak,True
mary,weak,weak,True
world,weak,weak,True
879623,weak,weak,True
gavr,weak,weak,True
test,weak,weak,True
vqzs,weak,weak,True
tom2020,weak,weak,True
mns18,weak,weak,True
ino33,weak,weak,True
qwerty,weak,weak,True
world,weak,weak,True
sarah,weak,weak,True
password,weak,weak,True
lisa,weak,weak,True
tviusv,weak,weak,True
ofr29,weak,weak,True
test,weak,weak,True
qwerty999,weak,weak,True
2457,weak,weak,True
temp,weak,weak,True
123456,weak,weak,True
world,weak,weak,True
t3st,weak,weak,True
4913,weak,weak,True
vqy,weak,weak,True
yrr94,weak,weak,True
vdk28,weak,weak,True
qwerty,weak,weak,True
jane,weak,weak,True
imml,weak,weak,True
jey94,weak,weak,True
qwerty,weak,weak,True
chris,weak,weak,True
yjw,weak,weak,True
xvis,weak,weak,True
mary,weak,weak,True
chris,weak,weak,True
qwerty,weak,weak,True
asdfgh,weak,weak,True
temp,weak,weak,True
demo,weak,weak,True
clqkk,weak,weak,True
unmdzs,weak,weak,True
anna2020,weak,weak,True
tom,weak,weak,True
aqiwh,weak,weak,True
login,weak,weak,True
mike,weak,weak,True
pyf,weak,weak,True
mary,weak,weak,True
kyqsb,weak,weak,True
9743,weak,weak,True
giq88,weak,weak,True
123456456,weak,weak,True
asdfgh,weak,weak,True
kpeaal,weak,weak,True
uhd42,weak,weak,True
mike,weak,weak,True
david2020,weak,weak,True
wqlr,weak,weak,True
qgq97,weak,weak,True
jyike,weak,weak,True
hello,weak,weak,True
test999,weak,weak,True
123456000,weak,weak,True
tom2022,weak,weak,True
142291,weak,weak,True
988355,weak,weak,True
4dmin,weak,weak,True
77428,weak,weak,True
alex,weak,weak,True
oozrry,weak,weak,True
gu3st,weak,weak,True
test123,weak,weak,True
Ngjwrlzd470,medium,medium,True
7E5mF0lib,medium,medium,True
Jane;000,medium,medium,True
KKJ7O%@Rv,medium,medium,True
Hvemj803,medium,medium,True
ca5ZBcQ5,medium,medium,True
Rtexxkx9212,medium,medium,True
Etrz623,medium,medium,True
Roskmcpj3677,medium,medium,True
Alex4-,medium,medium,True
cXCuE8BY,medium,medium,True
mtygzfVL9CK,medium,medium,True
"Sarah,789",medium,medium,True
Faoq@101,medium,medium,True
Clhcg84,medium,medium,True
IxVVeUPR,medium,medium,True
Emma$789,medium,medium,True
Cnwqk71,medium,medium,True
Anna#123,medium,medium,True
Sarah8[,medium,medium,True
John<2020,medium,medium,True
"Jkfh,22",medium,medium,True
Xdzgcl049,medium,medium,True
Rgwzprl236,medium,medium,True
Hhgdbw094,medium,medium,True
Usswif%068,medium,medium,True
pzPUEcQd,medium,medium,True
Sarah:2018,medium,medium,True
Sarah.2022,medium,medium,True
Anna}2023,medium,medium,True
Mike<2021,medium,medium,True
HHF1zwQXyZl,medium,medium,True
Sarah%2018,medium,medium,True
Cditdir5633,medium,medium,True
Sarah1%,medium,medium,True
Tom?111,medium,medium,True
Anna2:,medium,medium,True
8BjFS46b7,medium,medium,True
Jrosmqc79,medium,medium,True
3FcBO5fj,medium,medium,True
urYIRwkV,medium,medium,True
Jane$2023,medium,medium,True
Emma0|,medium,medium,True
Mary3[,medium,medium,True
Qvtljow2262,medium,medium,True
Quyr351,medium,medium,True
Kpvasuz707,medium,medium,True
Anna?789,medium,medium,True
jC0tcffKNAG,medium,medium,True
Uxnwr812,medium,medium,True
Anna^2020,medium,medium,True
jbMV6mYBBTCi,medium,medium,True
Jrbvfgd7427,medium,medium,True
Ywxmthz745,medium,medium,True
oYxTSVVPMc,medium,medium,True
Jane%2021,medium,medium,True
Lwwiwf!92,medium,medium,True
Ppckks19,medium,medium,True
PMHrWTCut,medium,medium,True
Lisa?000,medium,medium,True
Mary:999,medium,medium,True
Lisa+000,medium,medium,True
Prpowz784,medium,medium,True
Lisa6[,medium,medium,True
David0=,medium,medium,True
Raejx50,medium,medium,True
Mskoar88,medium,medium,True
Emma-2020,medium,medium,True
Anna7!,medium,medium,True
FmpdXxXbqizS,medium,medium,True
Uzzxt4565,medium,medium,True
Anna<456,medium,medium,True
Jane7;,medium,medium,True
lekOYi3lu,medium,medium,True
Sthzij034,medium,medium,True
Chris8#,medium,medium,True
Lbnawly886,medium,medium,True
Emma-000,medium,medium,True
David5},medium,medium,True
Gcyxqxyy53,medium,medium,True
Zhrro841,medium,medium,True
Byqraq247,medium,medium,True
Yyjon734,medium,medium,True
rE0cwj4cxz8P,medium,medium,True
Mary[2021,medium,medium,True
lABF8Vne,medium,medium,True
jIovKIxAil,medium,medium,True
Sarah$2019,medium,medium,True
David^2023,medium,medium,True
Ifpotag0034,medium,medium,True
"Anna3,",medium,medium,True
Wdeboy66,medium,medium,True
Vgioou7834,medium,medium,True
Elgwzfo205,medium,medium,True
Xphlyj087,medium,medium,True
Ssnxa5953,medium,medium,True
Jane%2021,medium,medium,True
Yfo5hAKcpB5W,medium,medium,True
Ekfbeoh4334,medium,medium,True
Itenzchj65,medium,medium,True
lfe4EL0OX,medium,medium,True
9VGagw1CQ,medium,medium,True
ViM%njgaM,medium,medium,True
Chris8$,medium,medium,True
Anna*2021,medium,medium,True
HAPIkGGG,medium,medium,True
1odor0Y2NHm,medium,medium,True
Anna[2022,medium,medium,True
Plelzk396,medium,medium,True
Wwfqbc0655,medium,medium,True
Emma:2018,medium,medium,True
Zuqqojpi514,medium,medium,True
sKU75JJc,medium,medium,True
