rider_id,rider_name,sign_up
313,Dalaja Modi,01/10/24
314,Pranit Dada,15/01/24
315,Theodore Nadig,04/07/23
316,Isaiah Naidu,24/08/23
317,Dominic Chaudhry,01/05/25
318,Agastya Pillay,31/08/23
319,Ansh Kannan,27/10/23
320,Adya Kata,11/05/24
321,Radhika Sidhu,08/11/24
322,Samaksh Deol,13/05/25
323,Anjali Reddy,24/06/23
324,Tripti Sridhar,11/08/24
325,Inaya Nigam,07/07/23
326,Yachana Natt,21/03/25
327,Deepa Ahuja,06/02/24
328,Jagat Sarin,04/10/23
329,Unni Wali,09/12/24
330,Sarthak Sampath,15/11/24
331,Radhika Madan,25/12/23
332,Qabil Krishnan,03/11/24
333,Bhavani Mitter,20/11/24
334,Qushi Dubey,14/08/23
335,Nicholas Aggarwal,09/09/24
336,Shivani Kade,17/06/23
337,Vasatika Varughese,10/01/24
338,Warinder Yadav,19/11/23
339,Kalpit Thakkar,22/02/24
340,Kala Mukherjee,25/05/25
341,Nikita Maharaj,28/02/24
342,Jackson Kamdar,07/08/24
343,Sai Goswami,02/05/25
344,Ryan Pai,25/04/25
345,Robert Goda,28/03/25
346,Sneha Prakash,16/01/24
347,Bhanumati Pandit,11/10/23
348,Zashil Bhatnagar,09/03/25
349,Bhavini Nazareth,13/08/23
350,Chavvi Bedi,04/04/25
351,Jyoti Sanghvi,09/06/24
352,Ishani Vohra,03/11/23
353,Jeevika Vora,04/04/24
354,Hitesh Mittal,01/07/23
355,Adweta Chandra,07/12/24
356,Sai Dugal,28/06/24
357,Oscar Nori,21/11/23
358,Yachana Shenoy,19/01/25
359,Sanya Varughese,15/05/25
360,Abeer Krish,24/04/24
361,Ira Mody,03/01/25
362,Vyanjana Devan,10/07/23
363,Ekantika Kala,21/10/24
364,Charvi Nagar,10/01/24
365,Ojasvi Manda,26/09/23
366,Nisha Nayak,23/06/23
367,Ira Choudhry,18/05/24
368,Garima Shere,18/02/25
369,Indrajit Bhatt,24/12/23
370,Kabir Kulkarni,03/12/24
371,Xavier Narayan,27/11/24
372,Waida Manne,21/02/25
373,Nathaniel Deol,27/11/23
374,Wyatt Mann,06/04/24
375,Shaurya Chacko,26/05/25
376,Ekbal Oommen,02/07/24
377,Anika Sha,25/12/23
378,Wahab Raman,01/07/23
379,Shravya Mishra,09/02/24
380,Reva Prashad,07/02/25
381,Adya Tailor,11/11/24
382,Samaksh Date,14/09/24
383,Brijesh Chatterjee,22/04/25
384,Yachana Upadhyay,10/03/25
385,Omya Krish,09/11/23
386,Oeshi Sahota,29/07/23
387,Ekta More,13/04/25
388,Chandran Subramanian,27/07/24
389,Jatin Rout,29/06/23
390,Hitesh Krishnamurthy,06/10/24
391,Nidra Manne,27/04/25
392,Laban Khare,13/04/24
393,Victor Butala,19/09/24
394,Gaurang Narasimhan,23/10/24
395,Janaki Atwal,29/08/24
396,Hiral Chacko,21/04/24
397,Nandini Chowdhury,21/08/23
398,Bhavna Hegde,17/06/24
399,Xiti Bhatia,22/05/25
400,Wishi Tak,31/10/23
401,Lipika Dewan,28/04/25
402,Tejas Minhas,20/02/24
403,Nitara Talwar,07/07/24
404,Vasudha Grewal,14/12/24
405,Qabil Hari,20/03/24
406,Isha Sachar,15/04/25
407,Jatin Walia,22/10/24
408,Libni Rattan,30/03/25
409,Mohammed Mall,22/08/23
410,Jeet Mall,10/12/24
411,Pushti Narasimhan,12/07/23
412,Harinakshi Chanda,04/07/23
413,Girik Saran,31/08/23
414,Advay Anand,18/05/25
415,Vyanjana Mammen,13/08/23
416,Vansha Thakur,12/10/23
417,Harish Majumdar,31/12/23
418,Pahal Bajwa,08/01/25
419,Siya Magar,25/04/25
420,Arjun Swaminathan,26/04/25
421,Harshil Deep,26/11/23
422,Shravya Sodhi,06/12/23
423,Girish Bir,20/04/24
424,Warda Atwal,23/06/23
425,Balveer Goswami,01/09/24
426,Warinder Muni,05/12/23
427,Charvi Reddy,14/12/23
428,Pranit Nagi,10/08/23
429,Ikbal Sarma,28/02/24
430,Thomas Bhatti,08/09/24
431,Rohan Palla,23/01/24
432,Priya Deshmukh,02/11/23
433,Anusha Ratta,08/07/24
434,Rachit Nagi,18/04/25
435,Chameli Varma,25/03/24
436,Rayaan Reddy,20/05/24
437,Xavier Sachdeva,15/01/25
438,Oliver Kapur,03/09/24
439,Eshana Murty,17/02/24
440,Yochana Sethi,08/02/24
441,Samaksh Shankar,20/08/24
442,Vasatika Sarin,30/11/23
443,Sanya Dixit,24/06/24
444,Dominic Lad,08/07/23
445,Lipika Amble,12/02/25
446,Owen Bhagat,27/07/24
447,Isha Bahl,12/03/25
448,Jason Nagi,14/05/25
449,Bishakha Kari,26/02/25
450,Oscar Kamdar,26/10/23
451,Arya Iyengar,21/02/24
452,Anay Apte,16/01/25
453,Janya Dar,08/06/24
454,Janaki Reddy,11/12/24
455,Sanaya Viswanathan,14/11/23
456,Lila Lalla,07/11/23
457,Maanav Chada,01/06/24
458,Rajeshri Sani,31/12/24
459,Gavin Cherian,13/06/24
460,Aashi Mammen,05/03/25
461,Luke Bava,27/01/25
462,Aditya Deep,16/08/23
463,Shaurya Pau,06/12/24
464,Ekanta Gour,03/06/23
465,Aarav Bawa,24/10/23
466,Abdul Dass,12/06/24
467,Janaki Mitra,02/07/24
468,Nirja Din,24/04/24
469,Atharv Venkatesh,21/11/24
470,Mohini De,28/06/23
471,Sai Basu,20/01/24
472,Nirja Varughese,23/04/25
473,Lopa Seshadri,21/09/24
474,Mason Barman,24/09/24
475,Vidhi Bedi,26/02/25
476,Daniel Mahajan,18/07/23
477,Mahika Sachar,05/10/23
478,Wahab Doshi,30/11/24
479,Amruta Lalla,24/01/25
480,Yashasvi Hayre,15/12/24
481,Neha Din,14/11/24
482,Xavier Manne,10/10/23
483,Aradhana Krishnan,08/07/23
484,Sai Balan,14/12/23
485,Charita Ghosh,30/12/24
486,Isaiah Rana,01/03/25
487,Kashvi Dyal,11/03/24
488,Bishakha Ranganathan,27/05/25
489,Jeevika Bains,02/06/23
490,Gopal Nagy,18/08/23
491,Priya Sarma,30/11/23
492,Devika Shere,02/06/24
493,Sanya Baral,14/07/24
494,Siya Ratti,26/03/24
495,Jhalak Badami,15/03/25
496,Tanay Jain,21/03/24
497,Geetika Saini,14/01/25
498,Idika Purohit,08/03/25
499,Xiti Deol,22/09/24
500,Harrison Naidu,02/05/25
501,Urvashi Srinivas,07/10/23
502,Triya Kannan,09/07/23
503,Amrita Garg,16/10/23
504,Amrita Handa,20/06/24
505,Harita Borah,13/01/24
506,Pranav Dasgupta,04/10/24
507,Nathan Sekhon,06/04/24
508,Harrison Shan,03/02/24
509,Peter Chana,30/10/24
510,Oliver Kuruvilla,22/08/23
511,Liam Purohit,11/07/23
512,Jyoti Andra,24/04/25
513,Jagvi Sood,10/09/24
514,Damyanti Zacharia,04/12/24
515,Aishani Arya,28/06/24
516,Ladli Chakrabarti,26/12/23
517,Manan Suresh,10/04/24
518,Rachita Buch,01/03/24
519,Kevin Sanghvi,10/02/25
520,Gaurangi Ghosh,14/12/23
521,Wridesh Borra,29/12/23
522,Lucky Atwal,14/12/24
523,Chanakya Parmar,23/12/23
524,Pushti Kala,08/07/24
525,Ayushman Dass,12/11/23
526,Varsha Joshi,15/01/24
527,Arin Mani,09/08/24
528,Gaurangi Gaba,30/05/23
529,Balvan Chaudhry,02/02/24
530,Tripti Muni,07/02/24
531,Shivani Yadav,22/11/24
532,Balhaar Prabhu,26/01/25
533,David Khanna,01/04/24
534,Chakradhar Sachdev,06/04/25
535,Lekha Menon,09/01/24
536,Jeevika Butala,20/02/24
537,Vamakshi Koshy,09/08/23
538,Meghana Nayak,01/03/24
539,Aditya Tank,18/10/24
540,Nitesh Bhargava,22/11/23
541,Aashi Sen,24/06/24
542,Omya Iyengar,20/04/24
543,Jalsa Chokshi,04/01/24
544,Ekaja Kara,20/02/25
545,Atharv Mandal,07/08/24
546,Manan Gole,10/05/25
547,Widisha Prakash,21/09/24
548,Krisha Modi,05/10/24
549,Ethan Uppal,12/08/24
550,Vasudha Vora,08/06/23
551,Harita Dani,01/11/24
552,Nicholas Borde,29/10/23
553,Ranveer Patla,05/03/25
554,Hemang De,02/12/24
555,Bina Gole,21/11/23
556,Anya Kanda,22/07/23
557,Wakeeta Chawla,17/06/24
558,Nitesh Sathe,24/05/25
559,Vedika Din,27/07/24
560,Vidhi Mammen,10/11/24
561,Charan Shetty,14/02/25
562,Barkha Tella,09/12/24
563,Harinakshi Munshi,09/07/23
564,Yatan Gour,04/10/23
565,Jagrati Palla,24/01/24
566,Balveer Parikh,04/11/24
567,Omkaar Sunder,29/07/23
568,Shivani Mukherjee,29/12/23
569,Charita Narain,01/11/23
570,Aarav Bhakta,30/10/24
571,Damini Doshi,08/04/24
572,Gaurav Kurian,17/09/23
573,Lakshmi Karan,25/07/24
574,Vamakshi Patel,30/07/24
575,Rajata Hayer,23/08/23
576,Kevin Ratti,24/11/23
577,Alka Cherian,08/12/24
578,Janaki Ben,01/01/25
579,Chakrika Ramaswamy,06/10/23
580,Aryan Sami,10/03/25
581,Upadhriti Sundaram,01/06/23
582,Benjamin Grewal,14/08/23
583,Dev Saini,03/05/24
584,Ishani Murthy,20/12/24
585,Eesha Raghavan,16/03/24
586,Aditya Chaudhari,05/10/23
587,Gaurika Bains,16/05/25
588,Waida Toor,25/06/23
589,Onkar Thaman,25/04/25
590,Vyanjana Sawhney,01/06/24
591,Fitan Mahal,14/11/24
592,Aashi Natarajan,07/03/24
593,Dhruv Nair,10/12/24
594,Vansha Mani,24/12/24
595,Janya Bhatti,08/09/24
596,Yadavi Banerjee,26/01/25
597,Naksh Samra,10/01/24
598,Chameli Bandi,19/09/23
599,Aarav Biswas,22/11/23
600,Omisha Banik,07/04/24
601,Pranav Pau,31/03/24
602,Ishani Kota,02/06/23
603,Peter Hayre,02/04/25
604,Dalbir Bhavsar,25/02/24
605,Vasudha Parsa,24/11/23
606,Gagan Acharya,16/04/25
607,Sudiksha Dugar,22/10/23
608,Arjun Bhakta,25/01/24
609,Ubika Johal,12/10/23
610,Teerth Rao,11/11/24
611,Teerth Gour,25/10/24
612,Wyatt Baria,18/03/25
613,Sanaya Karpe,05/06/23
614,Zayan Karpe,14/05/25
615,Nachiket Thaker,24/04/24
616,Michael Doshi,14/07/23
617,Harish Dua,23/06/23
618,Ekaja Murty,07/03/24
619,Kalpit Krishnan,12/01/25
620,Vedant Sane,14/11/23
621,Bimala Parmer,15/10/24
622,Damyanti Lad,18/10/23
623,Rudra Kumer,19/09/23
624,Fitan Rajagopalan,18/08/24
625,Brinda Panchal,30/03/24
626,Veer Nayak,21/10/23
627,Ansh Bath,08/12/23
628,Anvi Hora,02/10/24
629,Jairaj Kadakia,17/04/25
630,Garima Hari,02/10/24
631,Ayaan Ghose,07/01/25
632,Rajata Parikh,31/07/24
633,Praneel Wason,04/07/24
634,Aarush Rajagopalan,31/05/23
635,Brijesh Dey,13/03/24
636,Rishi Wali,30/05/23
637,Joshua Chokshi,07/03/25
638,Anamika Panchal,24/06/24
639,Triya Ahuja,27/03/25
640,Priya Parmer,04/03/24
641,Owen Gaba,11/10/23
642,Pahal Garg,30/04/25
643,Chanakya Dora,27/01/24
644,Mohammed Kala,09/05/25
645,Nirja Datta,16/02/25
646,Baghyawati Grewal,25/12/24
647,Onveer Viswanathan,15/04/25
648,Krishna Ahuja,11/02/24
649,Anya Kapur,25/02/24
650,Riya Mutti,27/04/25
651,Kevin Dutta,27/01/25
652,Aarnav Kala,22/05/25
653,Vasudha Varkey,22/03/24
654,Balvan Gola,21/03/25
655,Bhavna Pandey,11/03/24
656,George Deshpande,06/04/25
657,Andrew Nadkarni,01/12/23
658,Ayaan Raj,21/09/23
659,Ronith Kannan,26/03/25
660,Hemal Mandal,08/05/25
661,Henry Bala,29/06/23
662,Alka Ravi,03/07/23
663,Udyati Mann,17/03/24
664,Hemangini Nayar,05/05/24
665,Yutika Kamdar,08/09/23
666,Darsh Rout,23/09/23
667,Ekta Sahota,10/09/23
668,Suhani Prabhakar,16/02/24
669,Eesha Mallick,22/08/23
670,Aarnav Pathak,22/06/23
671,Vrishti Varma,12/03/24
672,Manbir Ramanathan,16/01/25
673,Geetika Guha,24/06/23
674,Atharv Sampath,25/02/25
675,Eiravati Prabhakar,30/03/25
676,Vamakshi Jayaraman,09/04/25
677,Aashi Panchal,26/05/24
678,Triya Misra,26/10/23
679,Indrajit Sahota,24/09/24
680,Hema Bhakta,10/06/24
681,Dayita Vora,02/05/24
682,Indali Tak,24/01/24
683,Darpan Tailor,31/05/24
684,Bahadurjit Shankar,11/09/23
685,Yatin Wali,28/07/23
686,Gayathri Chand,14/11/24
687,Bachittar Majumdar,28/01/25
688,Mahika Bhandari,02/05/25
689,Ayushman Raja,16/08/23
690,Jalsa Oommen,25/07/23
691,Dipta Borra,06/06/24
692,Megha Narayan,26/08/23
693,Jeevika Varghese,01/02/24
694,Aarini Sethi,08/10/23
695,Advika Jhaveri,11/04/25
696,Sudiksha Shetty,17/12/23
697,Fariq Mannan,03/12/23
698,Aishani Barman,28/03/24
699,Udant Dewan,23/04/24
700,Nilima Behl,02/01/25
701,Baljiwan Khalsa,11/02/24
702,Bishakha Pathak,14/03/24
703,Yoshita Joshi,21/01/24
704,Gagan Kuruvilla,22/04/25
705,Ekiya Lall,03/05/25
706,Yashasvi Patel,04/02/24
707,Sai Loyal,03/08/23
708,Udant Din,09/02/25
709,Oliver Loke,21/12/24
710,Janani Palla,12/07/23
711,Brijesh Setty,16/09/23
712,Chandani Parmer,11/12/23
713,Anjali Madan,26/03/25
714,Victor Sharma,16/02/25
715,Samuel Toor,28/11/24
716,Charles Karnik,09/02/25
717,Daniel Sekhon,17/04/25
718,Janaki Rastogi,21/03/25
719,Ekbal Mallick,10/11/24
720,Maya Sarkar,04/01/25
721,David Deol,07/08/24
722,Max Raju,22/12/23
723,Frado Gola,17/09/23
724,Yachana Ratti,08/05/25
725,Chasmum Prabhu,23/03/25
726,Irya Rastogi,21/06/23
727,Jacob Suresh,31/08/23
728,Gaurangi Bala,03/09/23
729,Gopal Sanghvi,27/07/24
730,Kevin Konda,26/06/23
731,Chaaya Goda,13/04/24
732,Jonathan Gola,11/04/25
733,Fariq Chander,10/09/23
734,Bhavya Sarma,24/06/24
735,Bishakha Konda,25/02/25
736,Jasmit Biswas,21/04/24
737,Divya Iyengar,24/07/24
738,Radha Balan,04/05/25
739,David Balakrishnan,02/01/25
740,Tamanna Prakash,04/07/23
741,Vihaan Korpal,02/03/24
742,Advika Virk,03/12/23
743,Qabil Ahluwalia,14/09/23
744,Mekhala Narula,26/01/25
745,Xalak Kothari,19/04/25
746,Mugdha Chhabra,24/06/24
747,Max Chakrabarti,30/10/24
748,Zehaan Chopra,16/11/23
749,Saumya Basak,01/05/24
750,Mahika Dugal,22/07/23
751,Jyoti Vasa,13/09/24
752,Agastya Bhattacharyya,22/08/23
753,Yadavi Barad,31/05/23
754,Kalpit Goel,26/03/24
755,Radhika Bahl,19/02/24
756,Aditya Dar,23/09/24
757,Andrew Mital,10/08/23
758,Vrishti Loyal,20/12/23
759,Lucky Parekh,13/09/23
760,Chakradhar Madan,11/01/24
761,Kiaan Mani,12/09/24
762,Yutika Wagle,03/06/24
763,Darsh Raghavan,26/10/24
764,Bachittar Lata,21/05/25
765,Warhi Rai,21/08/24
766,Abdul Sani,21/07/23
767,Falan Dutta,02/02/25
768,Hemangini Kumer,06/09/24
769,Vanya Bora,19/06/24
770,Neel Shanker,07/02/25
771,Zayan Mand,06/01/24
772,Vihaan Anne,09/02/25
773,Ekavir Chander,21/03/25
774,Wyatt Lad,04/02/25
775,Divya Ravi,11/05/24
776,Balhaar Kanda,09/05/25
777,Upma Ghose,23/04/24
778,Nidra Chokshi,27/05/25
779,Vivaan Iyengar,10/08/23
780,Eesha Pandya,07/08/24
781,Udyati Bala,08/09/24
782,Jason Vyas,09/12/24
783,Zansi Raghavan,04/10/23
784,Mugdha Kalla,20/02/25
785,Rajata Memon,12/08/23
786,Nachiket Chaudhari,12/03/24
787,Fitan Badami,08/06/23
788,Wriddhish Lad,24/06/23
789,Gabriel Tara,25/03/25
790,Tamanna Tak,29/09/24
791,Eshana Saran,25/04/24
792,Hema Bhalla,07/11/23
793,Anvi Kakar,02/04/25
794,Udant Sane,23/12/23
795,Vinaya Baral,29/07/23
796,Yashoda Manda,01/02/25
797,William Sarna,06/04/24
798,Hredhaan Tella,09/08/24
799,Krish Anne,24/12/23
800,Bina Doctor,06/12/24
801,Keya Dube,15/02/25
802,Chakrika Goswami,06/02/24
803,Maanas Venkatesh,20/11/23
804,Zehaan Sangha,03/02/25
805,Qushi Oommen,23/11/24
806,Jagvi Ratta,02/08/23
807,Saanvi Khanna,26/02/24
808,Nimrat Sarma,05/04/24
809,Ucchal Hari,26/01/24
810,Chanakya Vohra,01/09/24
811,Ekbal Sengupta,19/03/24
812,Samarth Ganguly,12/03/24
813,Qarin Gill,04/01/24
814,Abhimanyu Johal,19/11/23
815,Imaran Rajagopalan,29/04/25
816,Mohini Batta,16/06/24
817,Ansh Andra,22/09/23
818,Chanchal Mani,21/12/23
819,Janaki Balasubramanian,22/01/24
